avg_temp;7-yearMA;year
8.72;;1750
7.98;;1751
5.78;;1752
8.39;;1753
8.47;;1754
8.36;;1755
8.85;8.07;1756
9.02;8.12;1757
6.74;7.94;1758
7.99;8.26;1759
7.19;8.09;1760
8.77;8.13;1761
8.61;8.17;1762
7.5;7.97;1763
8.4;7.89;1764
8.25;8.1;1765
8.41;8.16;1766
8.22;8.31;1767
6.78;8.02;1768
7.69;7.89;1769
7.69;7.92;1770
7.85;7.84;1771
8.19;7.83;1772
8.22;7.81;1773
8.77;7.88;1774
9.18;8.23;1775
8.3;8.31;1776
8.26;8.4;1777
8.54;8.49;1778
8.98;8.61;1779
9.43;8.78;1780
8.1;8.68;1781
7.9;8.5;1782
7.68;8.41;1783
7.86;8.36;1784
7.36;8.19;1785
8.26;8.08;1786
8.03;7.88;1787
8.45;7.93;1788
8.33;8;1789
7.98;8.04;1790
8.23;8.09;1791
8.09;8.2;1792
8.23;8.19;1793
8.53;8.26;1794
8.35;8.25;1795
8.27;8.24;1796
8.51;8.32;1797
8.67;8.38;1798
8.51;8.44;1799
8.48;8.47;1800
8.59;8.48;1801
8.58;8.52;1802
8.5;8.55;1803
8.84;8.6;1804
8.56;8.58;1805
8.43;8.57;1806
8.28;8.54;1807
7.63;8.4;1808
7.08;8.19;1809
6.92;7.96;1810
6.86;7.68;1811
7.05;7.46;1812
7.74;7.37;1813
7.59;7.27;1814
7.24;7.21;1815
6.94;7.19;1816
6.98;7.2;1817
7.83;7.34;1818
7.37;7.38;1819
7.62;7.37;1820
8.09;7.44;1821
8.19;7.57;1822
7.72;7.69;1823
8.55;7.91;1824
8.39;7.99;1825
8.36;8.13;1826
8.81;8.3;1827
8.17;8.31;1828
7.94;8.28;1829
8.52;8.39;1830
7.64;8.26;1831
7.45;8.13;1832
8.01;8.08;1833
8.15;7.98;1834
7.39;7.87;1835
7.7;7.84;1836
7.38;7.67;1837
7.51;7.66;1838
7.63;7.68;1839
7.8;7.65;1840
7.69;7.59;1841
8.02;7.68;1842
8.17;7.74;1843
7.65;7.78;1844
7.85;7.83;1845
8.55;7.96;1846
8.09;8;1847
7.98;8.04;1848
7.98;8.04;1849
7.9;8;1850
8.18;8.08;1851
8.1;8.11;1852
8.04;8.04;1853
8.21;8.06;1854
8.11;8.07;1855
8;8.08;1856
7.76;8.06;1857
8.1;8.05;1858
8.25;8.07;1859
7.96;8.06;1860
7.85;8;1861
7.56;7.93;1862
8.11;7.94;1863
7.98;7.97;1864
8.18;7.98;1865
8.29;7.99;1866
8.44;8.06;1867
8.25;8.12;1868
8.43;8.24;1869
8.2;8.25;1870
8.12;8.27;1871
8.19;8.27;1872
8.35;8.28;1873
8.43;8.28;1874
7.86;8.23;1875
8.08;8.18;1876
8.54;8.22;1877
8.83;8.33;1878
8.17;8.32;1879
8.12;8.29;1880
8.27;8.27;1881
8.13;8.31;1882
7.98;8.29;1883
7.77;8.18;1884
7.92;8.05;1885
7.95;8.02;1886
7.91;7.99;1887
8.09;7.96;1888
8.32;7.99;1889
7.97;7.99;1890
8.02;8.03;1891
8.07;8.05;1892
8.06;8.06;1893
8.16;8.1;1894
8.15;8.11;1895
8.21;8.09;1896
8.29;8.14;1897
8.18;8.16;1898
8.4;8.21;1899
8.5;8.27;1900
8.54;8.32;1901
8.3;8.35;1902
8.22;8.35;1903
8.09;8.32;1904
8.23;8.33;1905
8.38;8.32;1906
7.95;8.24;1907
8.19;8.19;1908
8.18;8.18;1909
8.22;8.18;1910
8.18;8.19;1911
8.17;8.18;1912
8.3;8.17;1913
8.59;8.26;1914
8.59;8.32;1915
8.23;8.33;1916
8.02;8.3;1917
8.13;8.29;1918
8.38;8.32;1919
8.36;8.33;1920
8.57;8.33;1921
8.41;8.3;1922
8.42;8.33;1923
8.51;8.4;1924
8.53;8.45;1925
8.73;8.5;1926
8.52;8.53;1927
8.63;8.54;1928
8.24;8.51;1929
8.63;8.54;1930
8.72;8.57;1931
8.71;8.6;1932
8.34;8.54;1933
8.63;8.56;1934
8.52;8.54;1935
8.55;8.59;1936
8.7;8.6;1937
8.86;8.62;1938
8.76;8.62;1939
8.76;8.68;1940
8.77;8.7;1941
8.73;8.73;1942
8.76;8.76;1943
8.85;8.78;1944
8.58;8.74;1945
8.68;8.73;1946
8.8;8.74;1947
8.75;8.74;1948
8.59;8.72;1949
8.37;8.66;1950
8.63;8.63;1951
8.64;8.64;1952
8.87;8.66;1953
8.56;8.63;1954
8.63;8.61;1955
8.28;8.57;1956
8.73;8.62;1957
8.77;8.64;1958
8.73;8.65;1959
8.58;8.61;1960
8.8;8.65;1961
8.75;8.66;1962
8.86;8.75;1963
8.41;8.7;1964
8.53;8.67;1965
8.6;8.65;1966
8.7;8.66;1967
8.52;8.62;1968
8.6;8.6;1969
8.7;8.58;1970
8.6;8.61;1971
8.5;8.6;1972
8.95;8.65;1973
8.47;8.62;1974
8.74;8.65;1975
8.35;8.62;1976
8.85;8.64;1977
8.69;8.65;1978
8.73;8.68;1979
8.98;8.69;1980
9.17;8.79;1981
8.64;8.77;1982
9.03;8.87;1983
8.69;8.85;1984
8.66;8.84;1985
8.83;8.86;1986
8.99;8.86;1987
9.2;8.86;1988
8.92;8.9;1989
9.23;8.93;1990
9.18;9;1991
8.84;9.03;1992
8.87;9.03;1993
9.04;9.04;1994
9.35;9.06;1995
9.04;9.08;1996
9.2;9.07;1997
9.52;9.12;1998
9.29;9.19;1999
9.2;9.23;2000
9.41;9.29;2001
9.57;9.32;2002
9.53;9.39;2003
9.32;9.41;2004
9.7;9.43;2005
9.53;9.47;2006
9.73;9.54;2007
9.43;9.54;2008
9.51;9.54;2009
9.7;9.56;2010
9.52;9.59;2011
9.51;9.56;2012
9.61;9.57;2013
9.57;9.55;2014
9.83;9.61;2015
