avg_temp;7-yearMA;year
23.05;;1832
24.11;;1833
23.27;;1834
22.73;;1835
22.91;;1836
22.29;;1837
22.81;23.02;1838
22.54;22.95;1839
23.32;22.84;1840
22.97;22.80;1841
23.41;22.89;1842
23.55;22.98;1843
;23.10;1844
;23.16;1845
;23.31;1846
;23.31;1847
;23.48;1848
;23.55;1849
;0.00;1850
23.53;23.53;1851
23.74;23.64;1852
23.76;23.68;1853
23.83;23.72;1854
23.89;23.75;1855
22.83;23.60;1856
23.46;23.58;1857
22.37;23.41;1858
23.04;23.31;1859
23.91;23.33;1860
23.04;23.22;1861
23.04;23.10;1862
22.95;23.12;1863
23.02;23.05;1864
22.89;23.13;1865
23.1;23.14;1866
23.26;23.04;1867
24.32;23.23;1868
24.2;23.39;1869
24.22;23.57;1870
23.84;23.69;1871
23.75;23.81;1872
23.94;23.93;1873
23.23;23.93;1874
22.85;23.72;1875
23.05;23.55;1876
23.8;23.49;1877
24.3;23.56;1878
22.84;23.43;1879
24.01;23.44;1880
23.29;23.45;1881
22.65;23.42;1882
22.98;23.41;1883
22.85;23.27;1884
23.75;23.20;1885
22.94;23.21;1886
23.49;23.14;1887
23.82;23.21;1888
24.17;23.43;1889
23.38;23.49;1890
23.55;23.59;1891
23.4;23.54;1892
22.68;23.50;1893
23.62;23.52;1894
23.36;23.45;1895
23.35;23.33;1896
23.31;23.32;1897
23.54;23.32;1898
23.95;23.40;1899
23.48;23.52;1900
23.07;23.44;1901
23.99;23.53;1902
23.73;23.58;1903
23.17;23.56;1904
23.84;23.60;1905
23.74;23.57;1906
23.36;23.56;1907
23.57;23.63;1908
23.33;23.53;1909
23.31;23.47;1910
23.36;23.50;1911
23.48;23.45;1912
23.72;23.45;1913
24.28;23.58;1914
24.06;23.65;1915
23.52;23.68;1916
22.62;23.58;1917
23.26;23.56;1918
23.73;23.60;1919
23.64;23.59;1920
23.41;23.46;1921
23.91;23.44;1922
23.85;23.49;1923
23.25;23.58;1924
23.49;23.61;1925
23.83;23.63;1926
23.67;23.63;1927
24.09;23.73;1928
23.8;23.71;1929
24.04;23.74;1930
23.54;23.78;1931
24.23;23.89;1932
23.01;23.77;1933
23.79;23.79;1934
23.89;23.76;1935
24.02;23.79;1936
23.61;23.73;1937
23.92;23.78;1938
23.95;23.74;1939
24.17;23.91;1940
24.22;23.97;1941
23.86;23.96;1942
23.54;23.90;1943
23.85;23.93;1944
23.61;23.89;1945
24.34;23.94;1946
23.63;23.86;1947
24.02;23.84;1948
23.56;23.79;1949
24.03;23.86;1950
23.25;23.78;1951
23.97;23.83;1952
24.01;23.78;1953
24.22;23.87;1954
23.62;23.81;1955
23.47;23.80;1956
23.97;23.79;1957
24.62;23.98;1958
24.61;24.07;1959
23.8;24.04;1960
24.64;24.10;1961
23.44;24.08;1962
24.29;24.20;1963
23.47;24.12;1964
24.3;24.08;1965
24.36;24.04;1966
24.2;24.10;1967
23.3;23.91;1968
24.15;24.01;1969
24.06;23.98;1970
24;24.05;1971
24.41;24.07;1972
24.38;24.07;1973
23.92;24.03;1974
23.57;24.07;1975
23.77;24.02;1976
24.64;24.10;1977
24.01;24.10;1978
23.61;23.99;1979
24.35;23.98;1980
24.02;24.00;1981
24.02;24.06;1982
24.14;24.11;1983
24.62;24.11;1984
24.1;24.12;1985
24.75;24.29;1986
24.55;24.31;1987
24;24.31;1988
24.07;24.32;1989
24.64;24.39;1990
24.25;24.34;1991
24.24;24.36;1992
24.65;24.34;1993
24.71;24.37;1994
24.77;24.48;1995
24.28;24.51;1996
24.71;24.52;1997
24.78;24.59;1998
24.01;24.56;1999
24.36;24.52;2000
24.99;24.56;2001
25.18;24.62;2002
24.9;24.70;2003
24.24;24.64;2004
24.79;24.64;2005
24.57;24.72;2006
24.78;24.78;2007
24.26;24.67;2008
24.98;24.65;2009
24.95;24.65;2010
24.32;24.66;2011
24.84;24.67;2012
25.19;24.76;2013
